psc,obec,okres,distributor_elektrina,distributor_plyn,overit
73535,Horní Suchá,Karviná,ČEZ Distribuce,GasNet,ne
73541,Petřvald u Karviné,Karviná,ČEZ Distribuce,GasNet,ne
73542,Těrlicko,Karviná,ČEZ Distribuce,GasNet,ne
73543,Albrechtice u Českého Těšína,Karviná,ČEZ Distribuce,GasNet,ne
73551,Bohumín 5,Karviná,ČEZ Distribuce,GasNet,ne
73552,Bohumín 4,Karviná,ČEZ Distribuce,GasNet,ne
73553,Dolní Lutyně,Karviná,ČEZ Distribuce,GasNet,ne
73561,Chotěbuz,Karviná,ČEZ Distribuce,GasNet,ne
73562,Český Těšín 6,Karviná,ČEZ Distribuce,GasNet,ne
73564,Havířov 4,Karviná,ČEZ Distribuce,GasNet,ne
73571,Dětmarovice,Karviná,ČEZ Distribuce,GasNet,ne
73572,Petrovice u Karviné,Karviná,ČEZ Distribuce,GasNet,ne
73581,Bohumín 1,Karviná,ČEZ Distribuce,GasNet,ne
73601,Havířov 1,Frýdek-Místek;Karviná,ČEZ Distribuce,GasNet,ne
73701,Český Těšín 1,Karviná,ČEZ Distribuce,GasNet,ne
73801,Frýdek-Místek 1,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73901,Baška,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73904,Pražmo,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73911,Frýdlant nad Ostravicí,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73912,Čeladná,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73913,Kunčice pod Ondřejníkem,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73914,Ostravice,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73915,Staré Hamry,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73921,Paskov,Frýdek-Místek,ČEZ Distribuce,GasNet,ne
73923,Stará Ves nad Ondřejnicí,Ostrava-město,ČEZ Distribuce,GasNet,ne
